-1.985397006492435334e+00 1.382799747595557793e+00 1.880207269657463431e-01 4.100219327028662875e+00 4.905387733724445809e+00 1.113199210249378179e+00 1.905113215719549391e+00 7.441819060518718665e+00 5.704201115760931806e-01 3.388851916630638783e+00
-1.942265217899520113e+00 1.181863094877296794e+00 5.787251365734721986e+00 1.652118247741407586e+00 3.659524077904303674e+00 3.997303013338143529e+00 4.743285144815833299e+00 8.229183305543720905e+00 8.312379060643742434e+00 6.161880620517464990e+00
-1.941992776379037888e+00 7.988359857737136416e+00 9.214301782915194750e+00 2.846352897913355662e+00 5.848870572813991586e+00 6.557305810401326873e+00 2.993245959249355437e+00 1.803531203095616320e+00 1.360199319512885863e+00 6.983445596488949469e+00
-1.893515555097646796e+00 6.195693314306830679e+00 8.776796494774153246e+00 8.713948833340710465e+00 4.869413711124952471e+00 9.772294372817103003e-01 3.802781160339322675e+00 5.887422750312838460e+00 2.455334445140289201e-01 9.737711425471367477e+00
-1.878416621473359971e+00 2.491889830963293306e+00 1.934913484320621713e+00 5.337859815057903745e+00 1.616679320760389116e+00 7.432684278393891120e+00 8.783799857111882048e+00 5.172129202970606521e+00 8.138012144172639850e+00 5.154606909168601980e+00
-1.783197541180177925e+00 8.668618350963573249e+00 5.056982544555745918e+00 2.795630249340930185e+00 8.462644629946476371e+00 9.857487131937642033e+00 1.065245096841713757e+00 3.396505823498054077e+00 4.817195630032326648e+00 1.441361676592964880e+00
-1.769133847143477212e+00 2.113402936406449939e+00 3.079360440635677598e+00 2.562102735512771012e+00 9.718519446828819852e+00 5.466207315016386126e+00 7.180926586538460832e-02 3.682262297757143976e-01 3.037862849658223841e-01 6.497299443896606519e+00
-1.768748461904592784e+00 3.370301229236197571e+00 3.699383561243449137e+00 1.865193565937064424e+00 4.678728719590180773e+00 6.989323663117019692e-01 2.979653432837690019e+00 9.785178897079795490e+00 3.895559152067656683e+00 2.595873667106954663e+00
-1.763307271692358569e+00 5.039307590337502418e+00 4.273331405334324096e+00 6.795979428615551043e+00 4.923138069720026877e+00 6.733538707815811541e+00 1.313386520798047741e+00 6.332388987165437300e+00 2.421318827370035009e+00 1.393083568794137861e+00
-1.747506599056331211e+00 2.404915683262751624e+00 1.445096338789542134e+00 3.953565095422975073e+00 8.826418710044480420e+00 7.251751992847483841e+00 9.081437823795754483e+00 6.449199074966431411e+00 1.027794955093161988e+00 4.355071423208778825e+00
-1.666360314426679423e+00 6.496761162076531093e+00 9.428456789859954057e+00 8.102152282319753596e+00 4.438373776914094293e+00 5.647332656442713983e+00 7.423123467419301402e-01 8.183671758758745085e+00 4.921486695558458635e+00 4.564918856584824880e+00
